نوع البطولة ,الفريق الاول,الفريق الثاني,النتيجة,وقت المباراة
الدوري المصري,بيراميدز,غزل المحلة,4 - 0,14:45
الدوري المصري,المصري,الاتحاد السكندري,2 - 1,19:00
الدوري المصري,سيراميكا كليوباترا,فيوتشر اف سي,2 - 3,19:00
الدوري الإسباني,فياريال,ريال مدريد,2 - 1,17:15
الدوري الإسباني,مايوركا,بلد الوليد,1 - 0,19:30
الدوري الإسباني,اسبانيول,جيرونا,2 - 2,22:00
كأس الاتحاد الإنجليزي,توتنهام هوتسبر,بورتسموث,1 - 0,14:30
كأس الاتحاد الإنجليزي,جيلينجهام,ليستر سيتي,0 - 1,14:30
كأس الاتحاد الإنجليزي,كريستال بالاس,ساوثامبتون,1 - 2,14:30
كأس الاتحاد الإنجليزي,ميدلسبره,برايتون,1 - 5,17:00
كأس الاتحاد الإنجليزي,بورنموث,بيرنلي,2 - 4,17:00
كأس الاتحاد الإنجليزي,بلاكبول,نوتينجهام فورست,4 - 1,17:00
كأس الاتحاد الإنجليزي,هال سيتي,فولهام,0 - 2,17:00
كأس الاتحاد الإنجليزي,برينتفورد,وست هام يونايتد,0 - 1,19:30
كأس الاتحاد الإنجليزي,شيفيلد وينزداي,نيوكاسل,2 - 1,20:00
كأس الاتحاد الإنجليزي,ليفربول,وولفرهامبتون,2 - 2,22:00
الدوري الإيطالي,فيورنتينا,ساسولو,2 - 1,16:00
الدوري الإيطالي,يوفنتوس,أودينيزي,1 - 0,19:00
الدوري الإيطالي,مونزا,إنتر ميلان,2 - 2,21:45
الدوري التركي,هاتاي سبور,انطاليا سبور,0 - 0,15:00
الدوري التركي,بشكتاش,قاسم باشا,2 - 1,18:00
خليجي 25,البـــحرين,الإمارات,2 - 1,15:15
خليجي 25,الكويت,قطر,0 - 2,18:15
الدوري السعودي,الفيحاء,الباطن,2 - 2,14:30
الدوري السعودي,الأتفـــــاق,أبها,2 - 1,17:00
الدوري البرتغالي,أروكا,إستوريل,2 - 0,17:30
الدوري البرتغالي,فيتوريا جيماريش,ريو آفي,0 - 0,20:00
الدوري البرتغالي,كازا بيا,بورتو,0 - 0,22:30
الدوري المغربي,الاتحاد التوركي,المغرب الفاسي,1 - 2,17:00
الدوري المغربي,حسنية اغادير,أولمبيك آسفي,0 - 1,19:15
الدوري المغربي,نهضة بركان,مولودية وجدة,2 - 0,21:30
